text,bias_label
"Leader of Opposition in the Lok Sabha Rahul Gandhi on Tuesday (April 28, 2026) visited Great Nicobar Island and met with local Nicobarese community leaders at Rajiv Nagar in Campbell Bay, who explained their concerns and fears about the Union government’s ₹92,000 crore mega infrastructure project.

Mr. Gandhi’s visit to Nicobar comes weeks after a delegation from the island visited him in New Delhi to raise their issues with the way the Union government is proceeding with the “holistic development” project, the draft master plan for which envisions it as a tourism-reliant economy by 2055.

Fulfilling a promise

Addressing the attendees at the community hall in Rajiv Nagar, Mr. Gandhi said that he had promised to visit the Island when he met with the Nicobarese delegation earlier this year and that he had come to fulfil that promise. He said, “I don’t want to say much here today. I am here to listen to you and assure you that we will do whatever we can to fight for you.”

The Congress leader added that he had made it to the Great Nicobar Island despite the local administration first refusing permission and later coming up with “excuses” to prevent him from reaching the island. Andaman and Nicobar Islands Congress in-charge, Manickam Tagore, also said in a statement on Tuesday that Mr. Gandhi’s visit to Nicobar had been possible even “after all the hurdles created by the administration under Amit Shah”.

“For the first time, tribal communities will have a direct opportunity to express their concerns, struggles, and aspirations to the Leader of Opposition. While Narendra Modi has chosen not to listen to their voices, decisions have been made to hand over precious forests and land to his corporate friend Gautam Adani,” Mr. Tagore further said.

Locals share concerns

Leaders of the Tribal Council of Little and Great Nicobar told The Hindu that they shared their anxieties about the Centre’s project, and also explained their demands to return to their ancestral lands and villages along the Great Nicobal Island’s west coast. “We were also able to show him the maps marking our ancestral villages across the island,” one leader of the tribal council said, adding that Mr. Gandhi assured them of raising their issues in Parliament as well.

Mr. Gandhi is currently on a visit to the Andaman and Nicobar Islands, during which he attended a Congress meeting in Port Blair before heading to Great Nicobar Island. On Tuesday, the Leader of Opposition also visited and met with settler families on the island and families of ex-servicemen who were settled there in Gandhi Nagar. His schedule had also made room for him to pay floral tributes to former Prime Minister Indira Gandhi at Great Nicobar Island’s Indira Point.

The Union government’s project for the development of Great Nicobar Island includes the development of an international container transhipment port, an airport, and a greenfield township, projecting the creation of an economy on the island that will be primarily driven by tourism. The local administration has already issued a draft master plan for the development project and another draft plan outlining the proposed relocation of Nicobarese families. Both plans have created confusion among the locals and heightened their anxieties about losing access to their ancestral lands and forests.

Soon after the project received Stage-I clearance in 2022, the tribal council withdrew the consent for the project, and has since been alleging that their forest rights under the Forest Rights Act 2006 had not been settled and that they were being pressured to “sign surrender certificates” for their ancestral lands.

After repeated representations to the local administration, the U.T. administration, and the Union government, the tribal council leaders had also written to Mr. Gandhi about their issues, following which the Leader of Opposition had also written to the Ministry of Tribal Affairs.",Left
"Great Nicobar Island, the southernmost tip of the Andaman and Nicobar archipelago, is one of the most pristine and isolated ecosystems on the planet, and the home of the Shompen and the Nicobarese tribes and unique wildlife.

This tranquillity is poised for a radical transformation. The Indian government has sanctioned a ₹72,000-crore mega-infrastructure initiative called the ‘Holistic Development of Great Nicobar Island’. Spearheaded by the NITI Aayog and implemented by the Andaman and Nicobar Islands Integrated Development Corporation, the project envisions transforming the remote outpost into a major transshipment and defence hub.

The project covers around 166 sq. km, or nearly 18% of the island’s total land area, and entails an integrated city-state designed to serve both commercial and military purposes. The crown jewel is the international Container Transshipment Terminal in Galathea Bay. The bay’s natural depth is ideal to handle large container ships that currently dock in Colombo, Singapore or Klang. The government has said the terminal will eventually handle 14.2 million TEUs of cargo, capturing a significant slice of the transshipment revenue.

A new greenfield airport serving both civilian and military needs is planned for 24/7 operations, including handling 4,000 passengers per hour at its peak. The government has said this airport will offer a forward base for surveillance and logistics in the Indian Ocean region.

Perhaps the project’s most transformative aspect is the new township. The government has estimated that over the next 30 years, the local population will swell from the current 8,000 to more than 3.5 lakh people. The township will include industrial zones and residential areas and will effectively urbanise a significant chunk of the rainforest. All this infrastructure will be powered by a new 450-MVA gas- and solar-based power plant.

India’s push is driven by geopolitics and economics. The island overlooks the western entrance of the Strait of Malacca, a narrow shipping lane through which around 40% of the world’s trade and most of China’s energy imports pass. In the event of a conflict, a robust military presence here would allow India to theoretically monitor or interdict Chinese naval assets entering the Indian Ocean. Second, nearly 75% of India’s transshipment cargo is currently handled by ports outside the country, increasing the logistic costs for Indian trade. A transshipment hub at Great Nicobar could on the other hand allow India to service its own cargo as well as attract international vessels.

Source of controversy

The project’s primary source of controversy has been speed, which critics have argued is part of government efforts to sidestep due diligence. In 2021, NITI Aayog engaged AECOM, a global infrastructure firm, to prepare a pre-feasibility report. In March 2022, the terms of reference for the environmental impact assessment (EIA) were finalised. And in November, the Union Environment Ministry granted stage-I forest clearance to divert 130.75 sq. km of forest land. Days later, the final clearance was granted as well.

‘Inaccuracies, procedural violations’ in Great Nicobar draft environment impact assessment report

The rapidity raised eyebrows because the project required denotifying parts of a UNESCO Biosphere Reserve and tribal reserve. Galathea Bay is itself a crucial nesting site for the giant leatherback turtle, ancient mariners that travel thousands of kilometres to nest on these beaches. Building breakwaters and dredging for the port will effectively destroy the beach and permanently drive the turtles away. Conservationists and policymakers have also criticised the EIA for being based on a single season of data rather than the comprehensive multi-season data usually required for projects of this magnitude.

To build the township and airport, an estimated 9.64 lakh trees will be cut, per government figures; independent ecologists fear the number could be higher. These forests are the only home of the Nicobar megapode and the Nicobar tree shrew.

The rules require the state to plant trees elsewhere to ‘compensate’ for the deforestation. Since there is no land left in the archipelago, the government has proposed planting trees in Haryana, thousands of kilometres away — an idea ecologists have scoffed at because planting saplings in a dry, dusty scrubland in North India couldn’t possibly replace the complex ecological functions of a tropical evergreen rainforest in the Bay of Bengal.

The project will also affect more than 20,000 coral colonies. The government has proposed translocating these corals to other sites but that’s a complex process with a notoriously low survival rate worldwide. Overall, critics have said the state’s ideas amount to ticking boxes rather than a genuine conservation strategy.

The project’s social effects are likely to be equally volatile. The island is home to two distinct indigenous groups, the Nicobarese and the Shompen. The Shompen are a Particularly Vulnerable Tribal Group (PVTG) — largely semi-nomadic hunter-gatherers who have lived in the island’s interior for millennia, with limited contact with the outside world.

While the government claims the Shompen settlements won’t be disturbed, anthropologists are clear that an influx of 3 lakh outsiders and construction activity will push them into smaller pockets of land. The Shompen also lack immunity to common diseases. Greater contact with construction workers and tourists thus poses a severe risk of an epidemic that could wipe out the tribe, a fear international scholars have articulated as a risk of “genocide”.

Tragic history

While the Nicobarese are more assimilated, they have a tragic history with the project site. Before the 2004 tsunami, many of its members lived on the west coast; after the tsunami, they were relocated to the east coast with the promise that they could eventually return to their ancestral lands. But by designating the west coast for the project, the government is effectively barring the Nicobarese from ever returning home.

Under the Forest Rights Act 2006, diverting forest land requires the gram sabhas’ consent. Reports, however, indicate that the Tribal Council issued a ‘no objection certificate’ in 2022, only to withdraw it later alleging the Council had been rushed into signing without understanding the implications. The government has proceeded with the project anyway.

In 2023, the National Green Tribunal temporarily stayed the project and constituted a high-powered committee to revisit its clearances. However, the committee submitted its report in a sealed cover and the NGT allowed the project to proceed saying the committee had found the project to be compliant. Critics, including a group of former civil servants, condemned this lack of transparency saying an environmental clearance process for a public project couldn’t be treated as a state secret.

Tribal leaders continue to protest, with captains from Great Nicobar alleging publicly that they were forced by district administrations to sign “surrender certificates” for their land, further fuelling suspicions that the government is bulldozing the project through.",Center
"The closure of the Strait of Hormuz has once again put the spotlight on the global dependence on maritime trade. The closure of the critical waterway has restricted access to 20% of the global hydrocarbon trade, causing turmoil in the global energy market. The closure of the strait has now become a key point of contention between the two warring sides. This issue has led to the Americans blockading Iranian ports, effectively isolating Iran from global trade. In recent times, the threat to shipping in an increasingly interconnected world has drawn sharp responses from the global community. Many nations, including India, have deployed ships to protect maritime traffic traversing through the Bab el-Mandeb during the threat of Houthi rocket attacks, as well as during the height of Somali pirate activity.

‘Ceasefire First, Hormuz Second, Nuclear Later’: Iran Offers Phased Talks Plan With U.S.

The dangers of maritime chokepoints

For centuries, access to the sea has been thought of as a blessing for any nation. After all, one can be connected to the wider world via the oceans. Even today, with impressive rail and road linkages as well as an expanding commercial air sector, being landlocked is still thought of as a disadvantage. On land, geography is king; it often dictates the growth trajectory a country would take. Seas, on the other hand, are usually thought of as open highways, but the intersection of the open sea and geography can create chokepoints or bottlenecks that can restrict the movement of ships, as is currently being demonstrated by the bottling up of the Persian Gulf due to Iranian actions at the Strait of Hormuz.

China's big Malacca worry

The Malacca Strait is the shortest route between the Indian and the Pacific oceans. This maritime trade route is used extensively as a conduit for manufactured goods produced in East and South East Asia, predominantly from China, heading to Europe and West Asia. Meanwhile, crude oil and gas flow the other way from West Asia towards China through this strait. Nearly 75–80% of China's energy requirements now pass through this waterbody. China has long considered the Malacca Strait a major worry for its energy security. China has tried to use the more southern Lombok and Sunda straits to bypass the Malacca Strait, but these deviations add 1,800 km and 3,000 km respectively to the journey. This adds to both the cost and time of crude imports into China.

India a growing maritime power

As India grows, it is investing in its port infrastructure. The aim of the exercise is to exert India's influence both economically and militarily. The government of India is investing Rs 6.06 lakh crore in 845 maritime projects under the Sagarmala initiative. Projects worth Rs 1.57 lakh crore have already been completed. One of the most important projects for India is the Great Nicobar Island Project. This initiative, as per a publication by the Andaman & Nicobar Union Territory administration, will cost Rs 1 lakh crore.

Great Nicobar Island Project

The Great Nicobar Island Project is a strategically important initiative for New Delhi, both economically and militarily. The island is being developed as a major port and trans-shipment hub. The programme will improve infrastructure in India's southernmost landmass, Great Nicobar Island, where Indira Point is located. The island lies about 40 nautical miles (74 km) from international shipping lanes passing through the Strait of Malacca, the busiest waterway in the world. Two key international waterways straddle the Nicobar archipelago: the 10-degree channel separates this island group from the Andamans to the north, and the 80-km-wide Six Degree Channel separates it from Sumatra in Indonesia to the south. The government is planning to construct an International Container Transhipment Terminal (ICTT), an international airport, and a township on the island. A transhipment terminal handles containers from bulk carrier ships, stores them, and transfers them to other vessels for onward transport. This will reduce dependency on foreign ICTTs such as Colombo, Dubai, and Singapore, and is expected to save the country millions of dollars annually in foreign exchange. India currently has two operational transhipment terminals located at Kochi and Vizhinjam, with the latter being India's only deep-water hub. The upcoming hubs at Vadhavan port and Great Nicobar Island are both deep-water ports capable of handling some of the largest container ships in the world. The ICTT is being built at Galathea Bay under the Maritime India Vision 2030, with the aim of integrating the project into the global maritime economy. There are also plans to establish a 450 MW gas and solar power plant on the island to support these developments.

India's unsinkable aircraft carrier

India, through the Andaman & Nicobar Archipelago, is strategically positioned to monitor and potentially influence traffic flowing through the Strait of Malacca. About 82,000 ships carrying nearly 40% of global trade pass through this waterway annually. Great Nicobar Island lies roughly 150 km from the western entrance to the Malacca Strait and nearly 1,250 km from Singapore. The island group can also deploy aircraft to monitor the Sunda and Lombok straits, located roughly 2,000 km and 3,000 km away, respectively. The Andaman and Nicobar Islands are also India's gateway not only to South East and East Asia but also to the west coast of the United States. The armed forces currently maintain a continuous presence through four airbases, monitoring China’s primary sea access routes to the Indian Ocean. The new greenfield international airport will include a naval enclave, with 100 acres allocated for defence use, according to local authorities. “The infrastructure coming up in the area will reduce the reaction time in case of any contingency in the region. Good civilian infrastructure will help build naval infrastructure as well,” said a source in the Navy. “Once the infrastructure is in place, scaling up operations will be easier as logistics and communications improve. This will enhance the armed forces’ ability to operate across the wider region.”

The Tri-services command

The island group hosts India's only tri-services command called the Andaman & Nicobar Command (ANC). This command has elements of the army, navy and the air force. It was formed to protect India's interests in the area. The Coast Guard too maintains a strong presence in the area. The force has been fighting drug smuggling, human trafficking and illegal fishing in the area.

Concerns over the project

Environmentalists have raised concerns over the impact of these projects on the local flora and fauna, with many of these endemic to the archipelago. The National Green Tribunal (NGT) dismissed a series of pleas linked to the project earlier this year. The NGT stated that the environment clearance given previously to the project was backed by sufficient safeguards and that there was no good ground to interfere. Environment Minister Bhupender Yadav , had stated last year that the local Shompen and Nicobarese tribals are only being replaced from the New Chingen area and that no other tribal area has been disturbed. The minister had also stated that the total tribal area on the island stands at 751 square km, while the area earmarked for the new developments from the tribal fold is 84 square km. The government is re-notifying 76 square kilometers as compensation. The island has a total land mass of 921 sq km as per the UT government.

End of Article",Right
"Ayodhya/Lucknow, India – Wearing her hijab, Yusra Hussain stood in the queue to enter a makeshift temple to the Hindu god Ram in Ayodhya, the northern Indian city believed to be his birthplace. What followed is etched in her mind.

“I was jeered [at] and taunted,” the 32-year-old said. “And people started chanting Jai Shree Ram [victory to Lord Ram]. I got a sense of aggressive triumphalism.”

That was eight years ago. On Monday, Prime Minister Narendra Modi will inaugurate an incomplete Ram temple built in place of the makeshift shrine Hussain had visited, amid a nationwide frenzy over the consecration that has brought the country of 1.4 billion people, and a nearly $4 trillion economy, to a virtual standstill.

The stock market is shut, government offices are working only half the day and movie halls are offering live screenings of the religious ceremony that Modi’s opponents say he has hijacked ahead of national elections that are expected to begin in March.

Major public hospitals announced reduced services for the day to allow staff to soak in the celebrations, though some have since retracted those announcements.

Missing from news channels and popular discourse is any reference to the fact that the temple is coming up at the very spot where the 16th-century Babri Masjid was torn down by a Hindu nationalist mob on a grey winter morning in December 1992.

Hussain, a freelance journalist based in the city of Lucknow, 120 km (75 miles) east of Ayodhya, said she fears that the “triumphalism” she witnessed on what was her first visit to the temple town “might just get worse in the coming days”.

“In fact, after Ayodhya, there might be a snowballing effect on other disputed places like Mathura and Kashi,” she said. Mathura and Varanasi – Modi’s parliamentary constituency also known locally as Kashi – are also home to historic mosques that the prime minister’s Bharatiya Janata Party (BJP) and its Hindu majoritarian allies say were built on demolished temples.

For many among India’s 200 million Muslims, the state-sponsored pomp and ceremony around the temple’s launch is the latest in a series of painful realisations that – especially since Modi took office in 2014 – the democracy they call home no longer appears to care about them.

Increased religious polarisation in the country affects not just their safety and security but also their political influence in the upcoming national vote. Muslims constitute more than 20 percent of the population in 101 of India’s 543 directly elected parliamentary constituencies. Indian secularism has been premised on Hindus and Muslims – the country’s two-largest communities – voting primarily on economic or non-religious issues.

That has meant that while Indian Muslims are no homogenous voting bloc, the community has had the limited but definite ability to affect electoral outcomes for the best part of independent India’s 77-year journey. This has especially been true in the northern states of Uttar Pradesh – home to Ayodhya, Varanasi, Mathura and Lucknow – and Bihar as well as the eastern states of West Bengal and Assam, home to some of India’s largest Muslim populations.

With religious sentiments running high and if the majority Hindu vote consolidates behind a party like the BJP, as it often has in recent elections, this equation no longer holds.

“The 2024 elections could be a one-sided affair in favour of BJP,” said Hussain Afsar, Yusra’s father and also a Lucknow-based journalist.

At the centre of Modi’s religious pitch is the Ram temple, which is being unveiled while it is still under construction, despite opposition from some of Hinduism’s senior-most seers who have accused the prime minister of timing its consecration to maximise electoral gains.

“Hindus and Muslims have coexisted with each other for hundreds of years along with mosques and temples in India. Both places of worship are culturally and historically important for all Indians,” Lucknow-based social activist Tahira Hasan said. “I don’t think any Muslim has a problem with a temple, the problem arises when religion and places of worship are used to polarise society, create animosity and use religion to create tensions.”

Since January 12, Modi has been keeping a fast and visiting a series of temples dressed in saffron robes, blurring the lines between prime minister and monk. On Monday, Modi will join priests and selected dignitaries in a 30-minute ceremony at the temple. The country’s biggest opposition party, the Congress, is skipping the event.

“Using religion in politics is what people are concerned about,” Hasan said.

The temple is being built at the estimated cost of 11.8 billion Indian rupees ($142 million). “This will be the new Vatican for the Hindus,” said Vijay Mishra, an astrologer and priest who shuttles between Ayodhya and Lucknow.

But it is only the centrepiece of a broader revival and enlargement of the city of Ayodhya, where Modi inaugurated a new airport and railway station in December. The city is increasingly extending into the neighbouring city of Faizabad, which is named after a Muslim courtier.

Also, next to Ayodhya is Dhannipur village, where India’s Supreme Court, in a 2019 judgement, asked the government to give land to the Muslim community to build a mosque. It was the same judgement that awarded 2.7 acres (1 hectare) of disputed land to a trust to build the Ram temple where the Babri Masjid mosque once stood.

Athar Hussain, who is a coordinator of the trust tasked with building a mosque in Dhannipur, said that “our plan is to build a hospital and mosque”.

“We may not have the funds yet but we will eventually collect them,” he said. Hussain, who is unrelated to Yumna and her father, conceded that the Supreme Court verdict, and the subsequent, rapid construction of the Ram temple, had left many Muslims despondent. But, he added, “There is not much we can do about it.”

That sense of resignation extends to many Muslims and some, like Yumna, also hold the community’s leaders responsible.

“We had reconciled to the construction of a Hindu temple in Ayodhya but the Muslim leadership began to raise hopes that a secular Constitution will look after the interests of the minorities and return the disputed land,” she said.

Expectations peaked, she said, when, in 2018, the Supreme Court attempted arbitration between representatives of the communities. Those efforts failed.

Still, Hussain, the coordinator of the Dhannipur mosque project, continues to hope that India’s judiciary will not allow a repeat of Ayodhya’s example in Mathura and Varanasi.

Last week, the Supreme Court put on hold a High Court judgement ordering a study of the 17th-century Shahi Idgah Mosque in Mathura to see if it was built over the remains of a temple.

“We hope it will remain that way,” Hussain said.",Left
"Ayodhya: Ram Temple Construction Committee chairman Nripendra Mishra said on Sunday that construction of the Ram Mandir has been completed, with Larsen & Toubro and Tata Consultancy Services set to withdraw from the temple premises by June 30. He said a dedicated L&T team will remain permanently stationed at the complex to oversee maintenance work. Mishra said the main construction of the temple is finished and arrangements for darshan and pujan at all sub-temples are functioning smoothly for devotees.

Watch

Ram Temple Construction Fully Completed in Ayodhya, Confirms Trust

He also said a 4-kilometre hi-tech boundary wall is being built to strengthen security around the temple complex, with the project targeted for completion by the end of 2026. According to Mishra, construction of the Ram Mandir Trust office and a modern museum is underway. The museum will feature 20 galleries, including a special 7D gallery designed to give devotees an immersive experience similar to visiting the temple. He added that façade lighting work will begin soon to enhance the temple’s appearance.

End of Article",Center
"The Pran Pratishtha of Ram Lalla in Ayodhya Ram Mandir is a moment of great pride for our civilisation. It demonstrates the love, devotion and celebration in the hearts of millions of people in India and around the world.

The consecration of the Ayodhya Ram Mandir is an occasion for everyone to come together, beyond their political differences and celebrate the life of Lord Ram.

This is also a time to acknowledge and appreciate the role played by the Honourable Supreme Court, our Prime Minister Shri Narendra Modi, and all the stakeholders who worked together to bring this to fruition.

Lord Ram Is Eternally Relevant

Lord Rama is a universal figure. He is an inspiration to millions not just in India, but all over the world.

Even today, in a Muslim-dominated country like Indonesia, Ramayana is enacted before weddings, and, in Thailand, Ramakien is one of their national epics.

Shri Ram set an ideal example of truthfulness, discipline and commitment. Shri Ram always followed the path of 'commitment is more important than life itself.’

Commitment is necessary in any walk of life-social, professional or personal. A river needs two banks to flow. The difference between a flood and a flowing river is that the flow of water in the river is controlled in one direction. During floods the water rages over and has no direction.

Similarly, energy in our life needs some direction to flow. If you do not give it direction, there will be chaos. Today most of the people are confused because there is no direction in life.

When you are happy, you have a lot of life force within you; but when this life energy does not know where to go, how to go, it gets stuck. Just as water has to keep flowing, life too has to keep going. Commitment is necessary to move life energy in one direction. Life depends on commitment.

Pran Pratishta Before Temple Is Built Is An Ancient Practice — Lord Ram Sets Precedence

It is said in our scriptures that, for the wise one, the Divine resides in the self, and for the simple bhakta, the Divine resides in the idols.

Many have raised concerns about the Pran Pratishta taking place before the temple being built. But, this is not the first time this is happening. When Lord Ram did the Pran Pratishta of the Shiva Linga in Rameshwaram temple, he didn’t build the temple first. He did the Pran Pratishta, and later, the temple was built by successive kings.

This has been the practice across many temples in India like Tiruvannamalai, Madurai Meenakshi, Badrinath, Kedarnath and even Somnath. First, the garbhagriha was built, the Pran Pratishta was done, and then the rest of the temple was built. And, there are no scriptural objections to this method.

Yes, according to one school of thought, the temple should be built before Pran Pratishta. This is relevant when there is no purity (sannidhya), where the presence of the Divine isn’t already revealed. But, Lord Rama’s presence is palpable in Ayodhya, and he is already there. People have been praying to him there for ages.

What Is Ramrajya?

A well-organised state is called Ramrajya. The dream of Ramrajya has been with us for thousands of years.

What is Ramrajya? It is a state where everyone gets justice, everyone is prosperous and everyone is satisfied. When health, happiness, prosperity and justice prevail in the society, and people are moving towards achieving the higher truth of life instead of getting entangled in material wealth or enmity, then that is Ramrajya.

This kind of society has always been the dream of the people of this country. This is the reason why the description of a Ramrajya inspired people even more during the freedom struggle.

Making India Ramrajya was a big dream of Mahatma Gandhi. He took the name of Shri Ram and united the whole of India in the name of Ram for the independence of India.

Who Is Ram?

Ram is our 'Self'. He is very conscious. Consciousness is the ocean and our ability to perceive, think and understand and the different aspects we experience in life are the symbolic waves of this ocean of consciousness. They are merely peripheral.

Consciousness acts as the fundamental foundation, and just as one cannot escape the sky, you find yourself immersed in the ocean of consciousness always. In fact, the entire existence is filled with this consciousness, and you cannot escape it.

The experience of consciousness becomes clearer when all other sensory experiences move into the background. This is referred to as Nirvana, Moksha and other names.

The Ramayana Is Eternally Playing Out In Our Lives Every Day

The Ramayana is happening within us all the time. Ram is consciousness. Laxman is alert. Hanuman is breath and Ravana is a symbol of ego and negativity. Sita is the mind.

Mind is a wave in this ocean of consciousness. Mind is a special function of consciousness. You know, when we experience through the senses, we say that 'the mind is what experiences'. When I am looking at you, that aspect of the consciousness which can see, listen, smells or taste is the mind.

This mind is both your friend and enemy. When the mind is your enemy, it binds you to your past thoughts and experiences, because it does not allow you to see your situations from a new perspective. This is because everything we experience happens through the mind; even knowledge is obtained through the mind.

When the mind is your enemy, it makes you judgmental, brings suffering and stiffness in life. And when the mind is your friend, it brings joy, freedom and liberation. So, the mind can be our worst enemy or our best friend.

Lakshman indicates alertness. There is a stream of awareness within us that cannot be destroyed.

Accepting and observing that stream is spirituality — 'I have not changed, I have not aged, I am the same.' This awareness brings so much courage and strength in life that nothing can shake you.

Observing one's life and seeing it is spirituality, this is 'Satsang'. Satsang does not just mean singing hymns, but contemplating the truth of life.

Hanuman is our breath which is the link between our body, our soul and our mind.

Sita ji became fascinated by the golden deer. Our mind gets attracted to things and goes towards them. The ego hijacks the mind and distances it from the soul.

Hanuman ji is a symbol of breath; he is also called the son of wind. Hanuman ji helps Lord Ram in bringing Sita back from Lanka. In this way, with the help of breath (Hanuman), the mind (Sita) along with awareness is led to the soul which is Shri Ram.",Right
"The 4th of May 2026 may well be remembered as the moment India’s most powerful regional satrap fell. For 15 years, Mamata Banerjee and the Trinamool Congress stood as the most formidable regional force in the country, combative in Parliament and claiming a sub-national linguistic identity. Their defeat on May 4 marks the steady unravelling of a political system where regional parties held their own against national power.

This is not an isolated event. Across India, State-based parties are in retreat. In Telangana, the Bharat Rashtra Samithi (BRS) was displaced by the Congress. In Odisha, the Biju Janata Dal—long anchored by Naveen Patnaik—was swept aside by the BJP after 24 years in power. What we are witnessing is not merely electoral churn, but the consolidation of a new political order. (The defeat of the Dravida Munnetra Kazhagam in Tamil Nadu does not, however, fall into this pattern as it is a rooted ideological formation that has been out of office in the past.)

When the Narendra Modi era began in 2014, the BJP did well nationally but fared relatively poorly in State contests. Regional parties often acted as buffers, winning their States even as the BJP expanded nationally. But the post-2024 phase has altered that balance. The BJP, having lost its simple majority and now dependent on allies like the Janata Dal (United) and the Telugu Desam Party in the Lok Sabha, has become more aggressive in the States.

The playbook is now clear: ally, split, absorb, threaten, and finally replace.

In Maharashtra, this model unfolded in stages: first align with regional forces, then engineer splits, and eventually hollow them out. In Bihar, Mandal-era parties were first accommodated, then systematically diminished. Nitish Kumar’s exit from office marks the end of even that pretence of regional partnership.

West Bengal, however, was a direct battle with a powerful incumbent. Here, the BJP combined anti-incumbency with a carefully curated electoral ground. The question that lingers is whether such a dramatic conversion of votes into seats would have been possible without turning the State into what many described as a garrison, with a heavy deployment of Central forces?

The counterfactual is difficult to establish. Would voters have turned out in large numbers against the Trinamool in a State historically marked by political violence without that presence? We do not know. But what is evident is that a template is now in place for “difficult” States, those where sections of the electorate resist the BJP.

More important was the use of administrative mechanisms such as the Special Intensive Revision (SIR), including features like “Logical Discrepancy”, a bureaucratic filter that can potentially exclude voters on technical grounds. Applied selectively, such tools raise troubling constitutional and ethical questions. They begin to resemble a form of disenfranchisement that is procedural in appearance but deeply political in effect.

This marks an escalation of Central influence in State elections.

The implications are immediate. Uttar Pradesh, which votes next year and where the Samajwadi Party delivered a shock to the BJP in the 2024 general election, could be the next testing ground. Punjab, too, is in the BJP’s sights, with the rhetoric increasingly framing border States as requiring “national” stewardship. The AAP, currently in power there, is facing sustained political pressure; several of its Rajya Sabha MPs jumped ship recently to join the BJP.

Delhi, where the AAP was defeated a year ago, and Bengal exemplify two variations of the same approach. In Delhi, the AAP leadership was jailed under charges that were recently rejected by a trial court, while legislative changes stripped the elected government of control over the bureaucracy. In Bengal, the strategy was less legislative and involved greater use of Election Commission diktats. The outcome was similar: the encircling and eventual defeat of a regional force.

The larger design, however, lies in delimitation. The redrawing of constituencies promises to reshape political representation countrywide. While Parliament has yet to pass a comprehensive law (and the BJP was defeated in a recent attempt to do so), the process is visible at the State level. The BJP’s win in Assam was aided by delimitation designed to reduce the electoral clout of the Muslim population.

The Assam model in Bengal

It now seems inevitable that the Assam model, with the “ghuspetiya” or infiltrator rhetoric and the systematic marginalisation of Muslim representation, will come to Bengal. With its similar demographics, the model of exclusion will pick up pace. The political language has already shifted. Suvendu Adhikari, who defeated Mamata Banerjee in her constituency and is a contender for chief ministership, has embraced a rhetoric that rivals that of Assam’s Himanta Biswa Sarma. Both are political imports into the BJP, both rose through systems that later sidelined them, and both have discovered electoral prosperity with pitched rhetoric against Muslims.

There is a greater acceptance of this rhetoric in Bengal now, although anti-incumbency also mattered. One of the most telling conversations I had during the election was with a taxi driver taking me to the Kolkata airport. Once a CPI(M) supporter, he now backs the BJP. There are “too many mosques,” he said, didi had to go. Land reforms during the Left era had helped his family once, but now there were too many local strongmen taking cuts. His wife had benefited from government schemes, but she too would vote BJP.

This seamless shift, from the Left to the Right, from being welfare beneficiary to anti-incumbency, captured the mood of a State in transition. Regional parties everywhere are struggling. Sharad Pawar’s Nationalist Congress Party has splintered and diminished. The BRS, once the vehicle of Telangana’s Statehood movement, is adrift. The Janata Dal (Secular) survives in Karnataka on the margins of relevance with a family seeking to protect its assets and members. The Rashtriya Janata Dal (RJD), despite its legacy drawn from the Mandal movement, appears to be a fading force.

The once-formidable Bahujan Samaj Party led by four-time Chief Minister Mayawati in Uttar Pradesh has been conspicuously absent in the Modi era. It will no doubt make an appearance during the Uttar Pradesh election, possibly to strike deals and protect itself from the criminal cases that reduced the RJD founder Lalu Prasad Yadav into a shadow of his former self. Towering farm leader Chaudhary Charan Singh’s Rashtriya Lok Dal has effectively merged with the BJP, courtesy his grandson Jayant Chaudhary.

India, therefore, is no longer a federal montage with strong State satraps. It has become a Centrally managed political system with State-level variations. The shrinking list of regional parties is a sad little roll call of the defeated, the compromised, and the threatened.

What will happen to the Trinamool without power? The retribution in Bengal could be extreme but Mamata Banerjee is a fighter. She could play a role in national politics but that’s where the contradictions in the opposition camp come in, with the Congress and Left parties uncomfortable with sharing space with the Trinamool. The Congress could see an opportunity in the decline of regional players, but it’s not clear if it has the structures to make the most of it. For now, if the past is an indication of the future, the BJP will have a long innings in West Bengal.

Saba Naqvi is a Delhi-based journalist and author of four books who writes on politics and identity issues.

Also Read | No country for citizens: Lakhs of voters in limbo after Bengal SIR",Left
